semana_fin,geografia,variable_base,valor_actual,unidad,fuente,anomalia_z_52s,cambio_1s_absoluto,cambio_1s_pct,cambio_4s_pct,diferencia_mediana_departamentos,percentil_departamental,promedio_movil_12s,promedio_movil_4s,ranking_departamental
2026-06-28,Antioquia,precipitacion_semanal,21.6,mm,open-meteo,-1.334141,-30.8,-58.778626,-64.473684,-12.95,50.0,49.866667,47.025,5.0
2026-06-28,Antioquia,temp_max_semanal,30.5,°C,open-meteo,0.622439,0.7,,,2.55,100.0,29.991667,30.125,1.0
2026-06-28,Antioquia,temp_min_semanal,17.3,°C,open-meteo,1.096314,0.3,,,1.65,100.0,17.183333,17.65,1.0
2026-06-28,Antioquia,temp_promedio_semanal,23.9857,°C,open-meteo,2.070398,0.9428,,,2.88215,100.0,23.2762,23.441075,1.0
2026-06-28,COLOMBIA,fx_usd_local,3445.7900390625,COP/USD,yfinance,-2.174984,1.310059,0.038034,-5.628407,,,3610.246663,3492.017456,
2026-06-28,COLOMBIA,precio_interno_referencia,2145000.0,COP/carga_125kg,FNC,-1.136297,35000.0,1.658768,-1.37931,,,2169166.666667,2075500.0,
2026-06-28,Caldas,precipitacion_semanal,52.8,mm,open-meteo,-0.813236,-87.0,-62.23176,-55.254237,18.25,75.0,87.075,98.0,3.0
2026-06-28,Caldas,temp_max_semanal,23.8,°C,open-meteo,2.09076,2.8,,,-4.15,12.5,22.2,22.5,8.0
2026-06-28,Caldas,temp_min_semanal,12.5,°C,open-meteo,2.034943,1.5,,,-3.15,12.5,11.366667,12.15,8.0
2026-06-28,Caldas,temp_promedio_semanal,17.2643,°C,open-meteo,2.581644,1.5857,,,-3.83925,12.5,16.376792,16.510725,8.0
2026-06-28,Cauca,precipitacion_semanal,13.2,mm,open-meteo,-0.979363,-1.2,-8.333333,-46.987952,-21.35,12.5,33.1,28.7,8.0
2026-06-28,Cauca,temp_max_semanal,28.0,°C,open-meteo,1.667303,2.7,,,0.05,62.5,26.066667,26.925,4.0
2026-06-28,Cauca,temp_min_semanal,14.7,°C,open-meteo,1.466725,0.6,,,-0.95,25.0,14.116667,14.25,7.0
2026-06-28,Cauca,temp_promedio_semanal,21.0714,°C,open-meteo,2.471659,1.5071,,,-0.03215,50.0,19.583325,19.801775,5.0
2026-06-28,GLOBAL,precio_cafe_arabica,286.75,USc/lb,yfinance,-0.954099,11.649994,4.234821,7.9631,,,281.583336,266.387505,
2026-06-28,Huila,precipitacion_semanal,72.4,mm,open-meteo,1.746696,41.6,135.064935,163.272727,37.85,100.0,37.316667,45.125,1.0
2026-06-28,Huila,temp_max_semanal,27.9,°C,open-meteo,0.84443,2.0,,,-0.05,50.0,27.35,27.6,5.0
2026-06-28,Huila,temp_min_semanal,15.3,°C,open-meteo,0.997059,0.9,,,-0.35,37.5,15.158333,14.8,6.0
2026-06-28,Huila,temp_promedio_semanal,21.1357,°C,open-meteo,0.902314,1.0643,,,0.03215,62.5,20.988692,20.85,4.0
2026-06-28,Nariño,precipitacion_semanal,18.1,mm,open-meteo,-0.74408,-6.5,-26.422764,-42.356688,-16.45,25.0,39.925,25.0,7.0
2026-06-28,Nariño,temp_max_semanal,25.5,°C,open-meteo,1.036328,2.5,,,-2.45,25.0,24.358333,24.925,7.0
2026-06-28,Nariño,temp_min_semanal,15.4,°C,open-meteo,1.772027,0.3,,,-0.25,50.0,14.333333,15.0,5.0
2026-06-28,Nariño,temp_promedio_semanal,19.7286,°C,open-meteo,1.703008,0.5429,,,-1.37495,25.0,18.955942,19.2375,7.0
2026-06-28,Quindío,precipitacion_semanal,54.1,mm,open-meteo,-1.283938,-47.1,-46.541502,-41.067538,19.55,87.5,87.975,83.65,2.0
2026-06-28,Quindío,temp_max_semanal,28.1,°C,open-meteo,2.462803,4.5,,,0.15,75.0,25.95,26.0,3.0
2026-06-28,Quindío,temp_min_semanal,16.1,°C,open-meteo,1.426167,-0.2,,,0.45,75.0,15.633333,16.175,3.0
2026-06-28,Quindío,temp_promedio_semanal,21.3357,°C,open-meteo,2.633352,1.4,,,0.23215,75.0,20.429167,20.421425,3.0
2026-06-28,Risaralda,precipitacion_semanal,18.9,mm,open-meteo,-1.369027,-26.0,-57.906459,-66.607774,-15.65,37.5,46.708333,30.025,6.0
2026-06-28,Risaralda,temp_max_semanal,29.1,°C,open-meteo,2.723403,2.9,,,1.15,87.5,27.3,27.875,2.0
2026-06-28,Risaralda,temp_min_semanal,16.7,°C,open-meteo,1.824925,0.7,,,1.05,87.5,16.175,16.375,2.0
2026-06-28,Risaralda,temp_promedio_semanal,21.5714,°C,open-meteo,1.837439,0.7214,,,0.46785,87.5,21.246417,21.30535,2.0
2026-06-28,Tolima,precipitacion_semanal,47.5,mm,open-meteo,-1.155513,-88.7,-65.124816,8.944954,12.95,62.5,107.275,101.3,4.0
2026-06-28,Tolima,temp_max_semanal,25.7,°C,open-meteo,1.038849,0.1,,,-2.25,37.5,25.058333,25.75,6.0
2026-06-28,Tolima,temp_min_semanal,15.9,°C,open-meteo,1.765725,0.2,,,0.25,62.5,15.25,15.75,4.0
2026-06-28,Tolima,temp_promedio_semanal,20.7786,°C,open-meteo,2.429816,0.8215,,,-0.32495,37.5,19.792858,19.971425,6.0
