semana_fin,fecha_dato,anio,mes,semana_iso,geografia,tipo_geografia,municipio_referencia,orden_geografia,categoria,cadencia,orden_variable,variable,etiqueta_variable,descripcion_variable,valor,unidad,decimales,color,fuente,dias_observados,indice_base_100,cambio_1s_absoluto,cambio_1s_pct,cambio_4s_pct,cambio_1m_pct,cambio_12m_pct,promedio_movil_4s,promedio_movil_12s,anomalia_z_52s,estado_anomalia,direccion_cambio,ranking_departamental,percentil_departamental,diferencia_mediana_departamentos
2026-06-28,2026-06-26,2026,6,26,GLOBAL,Global,No aplica,0,Mercado,Semanal (último cierre disponible),2,precio_cafe_arabica,Precio internacional del café arábica,Futuro ICE Coffee C expresado en centavos de dólar por libra,286.75,USc/lb,1,#0F766E,yfinance,5,181.14339511809368,11.649994,4.234821,7.9631,,,266.387505,281.583336,-0.954099,Dentro de su rango histórico,Sube,,,
2026-06-28,2026-06-26,2026,6,26,COLOMBIA,Nacional,No aplica,1,Mercado,Semanal (último cierre disponible),1,fx_usd_local,Tasa de cambio USD/COP,Pesos colombianos por un dólar estadounidense,3445.7900390625,COP/USD,0,#2563EB,yfinance,5,69.42356227505766,1.310059,0.038034,-5.628407,,,3492.017456,3610.246663,-2.174984,Muy por debajo de su historia,Sube,,,
2026-06-28,2026-06-28,2026,6,26,COLOMBIA,Nacional,No aplica,1,Mercado,Semanal (último dato disponible),3,precio_interno_referencia,Precio interno de referencia FNC,Precio base por carga de 125 kg de café pergamino seco,2145000.0,COP/carga_125kg,0,#B7791F,FNC,7,113.79310344827587,35000.0,1.658768,-1.37931,,,2075500.0,2169166.666667,-1.136297,Por debajo de su historia,Sube,,,
2026-06-28,2026-06-28,2026,6,26,Caldas,Departamental,Manizales,2,Clima,Semanal,6,precipitacion_semanal,Precipitación semanal,Lluvia acumulada en la coordenada municipal de referencia,52.8,mm,1,#0284C7,open-meteo,7,,-87.0,-62.23176,-55.254237,,,98.0,87.075,-0.813236,Dentro de su rango histórico,Baja,3.0,75.0,18.25
2026-06-28,2026-06-28,2026,6,26,Caldas,Departamental,Manizales,2,Clima,Semanal,7,temp_min_semanal,Temperatura mínima semanal,Menor temperatura mínima diaria de la semana,12.5,°C,1,#4F46E5,open-meteo,7,,1.5,,,,,12.15,11.366667,2.034943,Muy por encima de su historia,Sube,8.0,12.5,-3.15
2026-06-28,2026-06-28,2026,6,26,Caldas,Departamental,Manizales,2,Clima,Semanal,8,temp_max_semanal,Temperatura máxima semanal,Mayor temperatura máxima diaria de la semana,23.8,°C,1,#DC2626,open-meteo,7,,2.8,,,,,22.5,22.2,2.09076,Muy por encima de su historia,Sube,8.0,12.5,-4.15
2026-06-28,2026-06-28,2026,6,26,Caldas,Departamental,Manizales,2,Clima,Semanal,9,temp_promedio_semanal,Temperatura promedio semanal,Promedio de los puntos medios diarios de temperatura,17.2643,°C,1,#D97706,open-meteo,7,,1.5857,,,,,16.510725,16.376792,2.581644,Muy por encima de su historia,Sube,8.0,12.5,-3.83925
2026-06-28,2026-06-28,2026,6,26,Huila,Departamental,Pitalito,3,Clima,Semanal,6,precipitacion_semanal,Precipitación semanal,Lluvia acumulada en la coordenada municipal de referencia,72.4,mm,1,#0284C7,open-meteo,7,,41.6,135.064935,163.272727,,,45.125,37.316667,1.746696,Por encima de su historia,Sube,1.0,100.0,37.85
2026-06-28,2026-06-28,2026,6,26,Huila,Departamental,Pitalito,3,Clima,Semanal,7,temp_min_semanal,Temperatura mínima semanal,Menor temperatura mínima diaria de la semana,15.3,°C,1,#4F46E5,open-meteo,7,,0.9,,,,,14.8,15.158333,0.997059,Dentro de su rango histórico,Sube,6.0,37.5,-0.35
2026-06-28,2026-06-28,2026,6,26,Huila,Departamental,Pitalito,3,Clima,Semanal,8,temp_max_semanal,Temperatura máxima semanal,Mayor temperatura máxima diaria de la semana,27.9,°C,1,#DC2626,open-meteo,7,,2.0,,,,,27.6,27.35,0.84443,Dentro de su rango histórico,Sube,5.0,50.0,-0.05
